{AST 2X9600{,{AT&F&C1&D2{,{ATZ{,{+++{,{ATH{,{1.0{,{BUSY{,{NO DIAL{,{NO CARRIER{,{NO ANSWER{
{AT&T 4000{,{ATQ0V1X4F1&C1{,{ATZ{,{+++{,{ATH{,{1.0{,{BUSY{,{NO DIAL{,{NO CARRIER{,{NO ANSWER{
{AT&T 4024{,{ATQ0V1X4F1&C1{,{ATZ{,{+++{,{ATH{,{1.0{,{BUSY{,{NO DIAL{,{NO CARRIER{,{NO ANSWER{
{AT&T Comsphere 3820{,{ATE1Q0V1M1X6Y0&C1&D2{,{ATZ{,{+++{,{ATH{,{1.0{,{BUSY{,{NO DIAL{,{NO CARRIER{,{NO ANSWER{
{AT&T DataPort 14.4{,{ATQ0V1X4F1&C1&D2{,{ATZ{,{+++{,{ATH{,{1.0{,{BUSY{,{NO DIAL{,{NO CARRIER{,{NO ANSWER{
{AT&T Paradyne Dataport 14.4{,{AT&F&C1{,{ATZ{,{~~~+++~~~{,{ATH{,{1.0{,{BUSY{,{NO DIAL{,{NO CARRIER{,{NO ANSWER{
{AT&T Paradyne PCMCIA{,{AT&F\N3{,{ATZ{,{~~~+++~~~{,{ATH{,{1.0{,{BUSY{,{NO DIAL{,{NO CARRIER{,{NO ANSWER{
{ATI 2400etc (non V.42){,{AT&F1&C1&D2{,{ATZ{,{+++{,{ATH{,{1.0{,{BUSY{,{NO DIAL{,{NO CARRIER{,{NO ANSWER{
{ATI 2400etc/e, 2400etc/i (with V.42){,{AT&F2&C1&D2{,{ATZ{,{+++{,{ATH{,{1.0{,{BUSY{,{NO DIAL{,{NO CARRIER{,{NO ANSWER{
{ATI 9600etc/e V.32/V.42{,{AT&F2&C1&D2{,{ATZ{,{+++{,{ATH{,{1.0{,{BUSY{,{NO DIAL{,{NO CARRIER{,{NO ANSWER{
{Aceex 1414 v.32bis{,{AT&F\N3\Q3{,{ATZ{,{~~~+++~~~{,{ATH{,{1.0{,{BUSY{,{NO DIAL{,{NO CARRIER{,{NO ANSWER{
{Alliance V.32{,{AT&FE0&C1&D2{,{ATZ{,{+++{,{ATH{,{1.0{,{BUSY{,{NO DIAL{,{NO CARRIER{,{NO ANSWER{
{Anchor 2400e{,{ATE1Q0M1X4V1S7=60&C1{,{ATZ{,{+++{,{ATH{,{1.0{,{BUSY{,{NO DIAL{,{NO CARRIER{,{NO ANSWER{
{Anchor 2400i Internal Half-card{,{ATE1Q0M1X4V1S7=60&C1&D2{,{ATZ{,{+++{,{ATH{,{1.0{,{BUSY{,{NO DIAL{,{NO CARRIER{,{NO ANSWER{
{Anchor 964E{,{ATQ0V1X4&C1{,{ATZ{,{+++{,{ATH{,{1.0{,{BUSY{,{NO DIAL{,{NO CARRIER{,{NO ANSWER{
{Apex 9600 Data/Fax{,{AT&FE0&C1&D2{,{ATZ{,{+++{,{ATH{,{1.0{,{BUSY{,{NO DIAL{,{NO CARRIER{,{NO ANSWER{
{Apex Data 14.4 v.32bis{,{AT&F\N3{,{ATZ{,{~~~+++~~~{,{ATH{,{1.0{,{BUSY{,{NO DIAL{,{NO CARRIER{,{NO ANSWER{
{Apex PCMCIA{,{AT&FE0&K3{,{ATZ{,{+++{,{ATH{,{1.0{,{BUSY{,{NO DIAL{,{NO CARRIER{,{NO ANSWER{
{Apex V.32, V.32bis Data/Fax{,{AT&F\N7\Q3\V2&C1&D2{,{ATZ{,{+++{,{ATH{,{1.0{,{BUSY{,{NO DIAL{,{NO CARRIER{,{NO ANSWER{
{Archtek Smartlink 144{,{AT&F{,{ATZ{,{~~~+++~~~{,{ATH{,{1.0{,{BUSY{,{NO DIAL{,{NO CARRIER{,{NO ANSWER{
{Arima{,{AT&FE0X4\N7\Q{,{ATZ{,{+++{,{ATH{,{1.0{,{BUSY{,{NO DIAL{,{NO CARRIER{,{NO ANSWER{
{Avatech 2400E{,{AT&FQ0V1X4F1&C1&D2S7=60{,{ATZ{,{+++{,{ATH{,{1.0{,{BUSY{,{NO DIAL{,{NO CARRIER{,{NO ANSWER{
{Avatex 1200{,{ATQ0V1X4F1{,{ATZ{,{+++{,{ATH{,{1.0{,{BUSY{,{NO DIAL{,{NO CARRIER{,{NO ANSWER{
{BSM Quik Com MNP{,{ATQ0V1X4F1&C1&D2S7=60S0=0{,{ATZ{,{+++{,{ATH{,{1.0{,{BUSY{,{NO DIAL{,{NO CARRIER{,{NO ANSWER{
{Bestdata 1442 FX{,{AT&F&C1&D2{,{ATZ{,{~~~+++~~~{,{ATH{,{1.0{,{BUSY{,{NO DIAL{,{NO CARRIER{,{NO ANSWER{
{Boca 14.4{,{AT&F&C1&D2\N3{,{ATZ{,{~~~+++~~~{,{ATH{,{1.0{,{BUSY{,{NO DIAL{,{NO CARRIER{,{NO ANSWER{
{Boca 14.4 V.32bis External{,{AT&F&C1&D2&R0&S1&T5S7=60{,{ATZ{,{+++{,{ATH{,{1.0{,{BUSY{,{NO DIAL{,{NO CARRIER{,{NO ANSWER{
{Boca Fax Modem{,{ATZS0=0Q0V1{,{ATZ{,{+++{,{ATH{,{1.0{,{BUSY{,{NO DIAL{,{NO CARRIER{,{NO ANSWER{
{Boca M2400{,{ATZS0=0Q0V1{,{ATZ{,{+++{,{ATH{,{1.0{,{BUSY{,{NO DIAL{,{NO CARRIER{,{NO ANSWER{
{Boca MV28KE (28.8 V. Fast modem){,{AT&F&C1&D2\N3{,{ATZ{,{~~~+++~~~{,{ATH{,{1.0{,{BUSY{,{NO DIAL{,{NO CARRIER{,{NO ANSWER{
{Boca MV28KI (28.8 V. Fast modem){,{AT&F&C1&D2\N3{,{ATZ{,{~~~+++~~~{,{ATH{,{1.0{,{BUSY{,{NO DIAL{,{NO CARRIER{,{NO ANSWER{
{Boca Multimedia 14.4{,{AT&F&C1&D2{,{ATZ{,{~~~+++~~~{,{ATH{,{1.0{,{BUSY{,{NO DIAL{,{NO CARRIER{,{NO ANSWER{
{Boca Research 14.4{,{AT&F&C1&D2&{,{ATZ{,{+++{,{ATH{,{1.0{,{BUSY{,{NO DIAL{,{NO CARRIER{,{NO ANSWER{
{CMS{,{AT\N1 S0=0 Q0 V1{,{ATZ{,{+++{,{ATH{,{1.0{,{BUSY{,{NO DIAL{,{NO CARRIER{,{NO ANSWER{
{CTS 2424ADH PLUS{,{ATV1Q0X4&C1{,{ATZ{,{+++{,{ATH{,{1.0{,{BUSY{,{NO DIAL{,{NO CARRIER{,{NO ANSWER{
{Calcom 1442{,{AT&F2\N3{,{ATZ{,{~~~+++~~~{,{ATH{,{1.0{,{BUSY{,{NO DIAL{,{NO CARRIER{,{NO ANSWER{
{Cardinal 14.4 DSP{,{AT&F{,{ATZ{,{~~~+++~~~{,{ATH{,{1.0{,{BUSY{,{NO DIAL{,{NO CARRIER{,{NO ANSWER{
{Cardinal 2400 MNP{,{AT&F2C1&D2&T5\C1\J0\N3\Q3\V1{,{ATZ{,{+++{,{ATH{,{1.0{,{BUSY{,{NO DIAL{,{NO CARRIER{,{NO ANSWER{
{Cardinal 9600{,{AT&F&C1&D2{,{ATZ{,{~~~+++~~~{,{ATH{,{1.0{,{BUSY{,{NO DIAL{,{NO CARRIER{,{NO ANSWER{
{Cardinal Fax 14.4{,{AT&F&C1&D2&Q5{,{ATZ{,{~~~+++~~~{,{ATH{,{1.0{,{BUSY{,{NO DIAL{,{NO CARRIER{,{NO ANSWER{
